image_id,has_oilpalm,score
img_000002017.jpg,0,0.7895
img_000012017.jpg,0,1
img_000022017.jpg,0,1
img_000072017.jpg,0,1
img_000082017.jpg,0,1
img_000092017.jpg,0,1
img_000102017.jpg,0,1
img_000112017.jpg,0,0.8352
img_000132017.jpg,0,1
img_000142017.jpg,0,1
img_000152017.jpg,0,1
img_000172017.jpg,0,1
img_000192017.jpg,0,1
img_000202017.jpg,0,1
img_000212017.jpg,0,1
img_000232017.jpg,0,1
img_000242017.jpg,0,1
img_000252017.jpg,0,1
img_000272017.jpg,0,1
img_000282017.jpg,0,1
img_000302017.jpg,0,0.773
img_000312017.jpg,0,1
img_000322017.jpg,0,1
img_000332017.jpg,0,1
img_000342017.jpg,0,1
img_000352017.jpg,0,1
img_000362017.jpg,0,1
img_000372017.jpg,0,1
img_000392017.jpg,0,1
img_000402017.jpg,0,0.7745
img_000412017.jpg,0,1
img_000442017.jpg,0,1
img_000452017.jpg,0,0.7553
img_000462017.jpg,0,1
img_000472017.jpg,0,0.6691
img_000492017.jpg,0,1
img_000512017.jpg,0,1
img_000522017.jpg,0,1
img_000542017.jpg,0,1
img_000562017.jpg,0,1
img_000582017.jpg,0,1
img_000602017.jpg,0,1
img_000612017.jpg,0,1
img_000632017.jpg,0,1
img_000652017.jpg,0,1
img_000662017.jpg,0,1
img_000672017.jpg,0,1
img_000712017.jpg,0,1
img_000732017.jpg,0,1
img_000742017.jpg,0,0.8001
img_000772017.jpg,0,1
img_000782017.jpg,0,1
img_000792017.jpg,0,0.8352
img_000802017.jpg,0,1
img_000812017.jpg,0,1
img_000822017.jpg,0,1
img_000832017.jpg,0,1
img_000852017.jpg,0,0.8203
img_000862017.jpg,0,1
img_000872017.jpg,0,1
img_000892017.jpg,0,0.8237
img_000902017.jpg,0,1
img_000932017.jpg,0,0.7949
img_000942017.jpg,0,1
img_000952017.jpg,0,1
img_000982017.jpg,0,1
img_001012017.jpg,0,1
img_001032017.jpg,0,1
img_001042017.jpg,0,1
img_001062017.jpg,0,1
img_001072017.jpg,0,0.8172
img_001082017.jpg,0,1
img_001092017.jpg,1,0.3944
img_001102017.jpg,0,1
img_001122017.jpg,0,1
img_001132017.jpg,1,1
img_001142017.jpg,0,0.5531
img_001152017.jpg,0,1
img_001182017.jpg,0,0.8001
img_001192017.jpg,0,1
img_001222017.jpg,0,1
img_001252017.jpg,0,1
img_001262017.jpg,0,1
img_001302017.jpg,0,0.8001
img_001312017.jpg,0,0.818
img_001322017.jpg,0,1
img_001342017.jpg,0,1
img_001372017.jpg,0,1
img_001402017.jpg,0,1
img_001422017.jpg,0,1
img_001432017.jpg,0,1
img_001442017.jpg,0,1
img_001472017.jpg,0,1
img_001482017.jpg,0,1
img_001492017.jpg,0,1
img_001522017.jpg,0,1
img_001532017.jpg,0,1
img_001542017.jpg,0,1
img_001552017.jpg,0,1
img_001562017.jpg,0,1
img_001572017.jpg,0,1
img_001582017.jpg,0,0.7891
img_001592017.jpg,0,1
img_001602017.jpg,0,0.8218
img_001652017.jpg,0,1
img_001662017.jpg,0,0.8777
img_001672017.jpg,0,0.8442
img_001682017.jpg,0,1
img_001702017.jpg,0,1
img_001712017.jpg,1,0.7543
img_001722017.jpg,0,1
img_001732017.jpg,0,1
img_001742017.jpg,0,1
img_001752017.jpg,0,0.8101
img_001762017.jpg,0,0.8043
img_001772017.jpg,0,0.8203
img_001792017.jpg,0,0.6038
img_001802017.jpg,0,1
img_001842017.jpg,0,1
img_001852017.jpg,0,1
img_001872017.jpg,0,1
img_001892017.jpg,0,1
img_001902017.jpg,0,1
img_001912017.jpg,0,1
img_001922017.jpg,0,1
img_001932017.jpg,0,1
img_001952017.jpg,0,1
img_001962017.jpg,0,1
img_002002017.jpg,0,1
img_002012017.jpg,1,1
img_002022017.jpg,0,1
img_002032017.jpg,0,1
img_002042017.jpg,0,1
img_002052017.jpg,0,1
img_002072017.jpg,0,1
img_002082017.jpg,0,0.8044
img_002092017.jpg,0,1
img_002102017.jpg,0,1
img_002152017.jpg,0,1
img_002162017.jpg,0,1
img_002172017.jpg,0,1
img_002202017.jpg,0,1
img_002222017.jpg,0,1
img_002232017.jpg,1,1
img_002262017.jpg,0,0.7958
img_002272017.jpg,0,1
img_002282017.jpg,0,1
img_002292017.jpg,0,1
img_002302017.jpg,0,1
img_002312017.jpg,0,1
img_002322017.jpg,0,0.8093
img_002332017.jpg,0,1
img_002352017.jpg,0,1
img_002362017.jpg,0,0.8338
img_002382017.jpg,0,1
img_002402017.jpg,1,1
img_002412017.jpg,0,1
img_002432017.jpg,0,1
img_002442017.jpg,0,1
img_002452017.jpg,0,1
img_002472017.jpg,0,1
img_002482017.jpg,0,1
img_002502017.jpg,0,1
img_002522017.jpg,0,1
img_002552017.jpg,0,1
img_002562017.jpg,0,1
img_002572017.jpg,0,1
img_002592017.jpg,0,0.7981
img_002612017.jpg,0,0.8272
img_002622017.jpg,0,1
img_002652017.jpg,0,1
img_002672017.jpg,0,1
img_002682017.jpg,0,0.8264
img_002692017.jpg,0,1
img_002702017.jpg,0,1
img_002712017.jpg,0,0.6263
img_002722017.jpg,1,1
img_002742017.jpg,0,1
img_002752017.jpg,0,1
img_002762017.jpg,0,1
img_002772017.jpg,0,1
img_002782017.jpg,0,1
img_002792017.jpg,0,1
img_002802017.jpg,0,1
img_002812017.jpg,0,1
img_002822017.jpg,0,1
img_002832017.jpg,0,1
img_002842017.jpg,0,0.8007
img_002872017.jpg,0,1
img_002882017.jpg,0,1
img_002892017.jpg,0,1
img_002912017.jpg,0,1
img_002922017.jpg,0,1
img_002932017.jpg,0,1
img_002952017.jpg,0,1
img_002972017.jpg,0,1
img_002992017.jpg,0,1
img_003012017.jpg,1,0.792
img_003022017.jpg,0,1
img_003032017.jpg,0,1
img_003102017.jpg,0,1
img_003122017.jpg,0,1
img_003152017.jpg,0,1
img_003162017.jpg,1,1
img_003182017.jpg,0,1
img_003192017.jpg,0,1
img_003202017.jpg,0,1
img_003212017.jpg,0,1
img_003222017.jpg,1,1
img_003232017.jpg,0,1
img_003262017.jpg,0,1
img_003272017.jpg,0,1
img_003282017.jpg,0,1
img_003322017.jpg,1,1
img_003332017.jpg,0,1
img_003342017.jpg,0,1
img_003352017.jpg,0,1
img_003372017.jpg,0,1
img_003382017.jpg,0,1
img_003402017.jpg,0,1
img_003412017.jpg,0,0.822
img_003422017.jpg,0,0.8067
img_003452017.jpg,0,1
img_003462017.jpg,0,1
img_003472017.jpg,0,1
img_003482017.jpg,0,1
img_003492017.jpg,0,1
img_003502017.jpg,0,1
img_003522017.jpg,1,1
img_003562017.jpg,0,1
img_003592017.jpg,0,1
img_003602017.jpg,0,1
img_003632017.jpg,0,1
img_003672017.jpg,0,1
img_003692017.jpg,0,1
img_003712017.jpg,0,1
img_003722017.jpg,0,1
img_003732017.jpg,0,1
img_003742017.jpg,0,0.6065
img_003772017.jpg,0,0.8046
img_003782017.jpg,0,1
img_003792017.jpg,0,0.8218
img_003802017.jpg,0,0.8132
img_003822017.jpg,0,1
img_003852017.jpg,0,1
img_003862017.jpg,0,1
img_003872017.jpg,0,1
img_003882017.jpg,0,1
img_003892017.jpg,0,1
img_003932017.jpg,0,1
img_003942017.jpg,0,1
