image_id,has_oilpalm
img_000022018.jpg,-2.939939
img_000042017.jpg,-1.5202286
img_000052017.jpg,-2.3697357
img_000062017.jpg,-2.522212
img_000062018.jpg,-2.8073125
img_000122017.jpg,-2.505026
img_000142018.jpg,-2.8911815
img_000162018.jpg,-2.733037
img_000182017.jpg,-2.4595695
img_000262017.jpg,-2.6989694
img_000292017.jpg,-2.4791183
img_000302018.jpg,-2.6944175
img_000342018.jpg,-2.5091815
img_000382017.jpg,-2.4565768
img_000382018.jpg,-2.8815649
img_000422017.jpg,-2.4902143
img_000422018.jpg,-2.656372
img_000432017.jpg,-2.6783
img_000472018.jpg,-2.4964485
img_000532017.jpg,-2.8081632
img_000542018.jpg,-2.7518167
img_000552017.jpg,-2.4745655
img_000592017.jpg,-3.0144641
img_000602018.jpg,-2.5738149
img_000622017.jpg,-2.383266
img_000622018.jpg,0.79516935
img_000632018.jpg,-2.788351
img_000672018.jpg,-2.474905
img_000682018.jpg,-0.6649368
img_000692017.jpg,-2.523284
img_000702017.jpg,-2.813189
img_000752017.jpg,-2.3932452
img_000762017.jpg,-2.6825886
img_000812018.jpg,-2.541831
img_000822018.jpg,-2.4565182
img_000832018.jpg,-2.563486
img_000842018.jpg,-2.6386576
img_000852018.jpg,-2.4256926
img_000872018.jpg,-2.4205604
img_000882017.jpg,-2.5396633
img_000882018.jpg,-2.6468155
img_000902018.jpg,0.9285358
img_000912017.jpg,-2.9549022
img_000912018.jpg,-2.627829
img_000922018.jpg,-2.4736679
img_000962017.jpg,-2.675232
img_000962018.jpg,-2.8259265
img_000972017.jpg,-2.4213219
img_000992017.jpg,-2.6141043
img_000992018.jpg,-2.5434403
img_001012018.jpg,-2.4488044
img_001052017.jpg,-2.5289378
img_001112017.jpg,-2.8267236
img_001182018.jpg,-2.676252
img_001192018.jpg,-2.6544487
img_001202017.jpg,-2.329242
img_001202018.jpg,-2.738235
img_001212017.jpg,-2.6489422
img_001232017.jpg,-2.6457405
img_001242017.jpg,-2.7617717
img_001272017.jpg,-2.6848645
img_001272018.jpg,-2.5187206
img_001292017.jpg,-2.5002394
img_001332017.jpg,-2.5774038
img_001362017.jpg,-1.3381894
img_001362018.jpg,-2.6250234
img_001392017.jpg,-2.4945886
img_001412017.jpg,-2.443707
img_001422018.jpg,-1.1393971
img_001452017.jpg,-2.500311
img_001462017.jpg,-2.220027
img_001472018.jpg,-2.4155295
img_001492018.jpg,-2.6370804
